"","Antibiotic","Total_Tested","Mean_Testing_Rate"
"1","AKN",444979,0.988470996448001
"2","AMC",436563,0.969775795312427
"3","AMP",303204,0.673533717337267
"4","AMX",438656,0.974425160328677
"5","AZT",56615,0.125763879787369
"6","CAZ",423732,0.941273166299767
"7","CFM",411956,0.915114101592957
"8","CIP",227879,0.506207668675542
"9","CN",24737,0.0549504741552617
"10","CRO",444328,0.987024872881074
"11","CS",9488,0.0210765290368728
"12","CTX",444328,0.987024872881074
"13","CXM",71656,0.159175776208491
"14","ERT",441843,0.981504723781513
"15","FEP",95015,0.211065177744358
"16","FOS",446213,0.991212189200056
"17","FOX",444359,0.98709373590807
"18","FUR",446083,0.990923408764264
"19","GEN",407216,0.904584722626391
"20","IMP",96844,0.215128096337153
"21","LEV",91250,0.202701652046232
"22","MEC",434573,0.965355233256844
"23","MEM",60479,0.134347322894291
"24","NAL",347032,0.770892709182551
"25","NOR",122846,0.272888626271467
"26","OFL",296369,0.658350530578516
"27","PIP",68915,0.153086951789217
"28","TCC",39667,0.0881157965119766
"29","TEM",231363,0.513946984354764
"30","TGC",39182,0.0870384233476761
"31","TIC",394451,0.876228705219595
"32","TMP",53219,0.118220046249297
"33","TOB",308313,0.684882788463888
"34","TSU",435451,0.967305611892423
"35","TZP",425425,0.945033976128965
